#:xaxis	t
#:name	n	t	ne	ni	KE	PE	V[0]	I[0]	Q[0]	V[1]	I[1]	Q[1]
#:long	timestep	time	"number of electrons"	"number of ions"	"kinetic energy"	"potential energy"	voltage	current	charge	voltage	current	charge
#:units	1	s	m**(-3)	m**(-3)	J	J	V	A	C	V	A	C
0	0.0000000000000000e+00	1.0000000000000000e+06	1.0000000000000000e+06	2.8570406157787001e-12	0.0000000000000000e+00	3.5000000000000000e+00	0.0000000000000000e+00	2.3767160769297446e-01	3.5000000000000000e+00	0.0000000000000000e+00	2.8722780658923996e-01
1	1.8587886216690444e-08	9.9756600000000000e+05	1.0000090000000000e+06	3.1111438372140166e-12	0.0000000000000000e+00	3.5000000000000000e+00	-4.6402622973427275e-06	2.3767160769295992e-01	3.5000000000000000e+00	-4.5808537786649212e-06	2.8722780658922520e-01
2	3.7175772433380889e-08	9.8980900000000000e+05	9.9996000000000000e+05	4.3376221246388220e-12	0.0000000000000000e+00	3.5000000000000000e+00	-1.2525143691708000e-05	2.3767160769291953e-01	3.5000000000000000e+00	-1.2236326893212605e-05	2.8722780658918418e-01
3	5.5763658650071330e-08	9.7391600000000000e+05	9.9983600000000000e+05	5.6125092870264523e-12	0.0000000000000000e+00	3.5000000000000000e+00	-1.9471370490964338e-05	2.3767160769286702e-01	3.5000000000000000e+00	-1.9469542536543478e-05	2.8722780658913188e-01
4	7.4351544866761777e-08	9.4861300000000000e+05	9.9984200000000000e+05	6.7953754544779078e-12	0.0000000000000000e+00	3.5000000000000000e+00	-2.5549318940310410e-05	2.3767160769280907e-01	3.5000000000000000e+00	-2.5652598365088521e-05	2.8722780658907487e-01
5	9.2939431083452225e-08	9.1373900000000000e+05	9.9982400000000000e+05	7.7908087996550121e-12	0.0000000000000000e+00	3.5000000000000000e+00	-3.0900655507353170e-05	2.3767160769275322e-01	3.5000000000000000e+00	-3.0968289820924677e-05	2.8722780658901836e-01
6	1.1152731730014267e-07	8.7051500000000000e+05	9.9978400000000000e+05	8.5792680643485384e-12	0.0000000000000000e+00	3.5000000000000000e+00	-3.5039144316160965e-05	2.3767160769270065e-01	3.5000000000000000e+00	-3.5016294885900317e-05	2.8722780658896768e-01
7	1.3011520351683311e-07	8.2075900000000000e+05	9.9966400000000000e+05	9.1089930847086795e-12	0.0000000000000000e+00	3.5000000000000000e+00	-3.8156720580923196e-05	2.3767160769266341e-01	3.5000000000000000e+00	-3.7966613321154641e-05	2.8722780658892988e-01
8	1.4870308973352355e-07	7.6852600000000000e+05	9.9954300000000000e+05	9.4518035217670876e-12	0.0000000000000000e+00	3.5000000000000000e+00	-3.9000321546146161e-05	2.3767160769263923e-01	3.5000000000000000e+00	-3.9171235284495773e-05	2.8722780658890518e-01
9	1.6729097595021400e-07	7.1690400000000000e+05	9.9949200000000000e+05	9.6698064343345098e-12	0.0000000000000000e+00	3.5000000000000000e+00	-3.8695053157863963e-05	2.3767160769262718e-01	3.5000000000000000e+00	-3.8558870553510524e-05	2.8722780658889169e-01
10	1.8587886216690445e-07	6.6725900000000000e+05	9.9934300000000000e+05	9.7583206162869329e-12	0.0000000000000000e+00	3.5000000000000000e+00	-3.7227205757920204e-05	2.3767160769262796e-01	3.5000000000000000e+00	-3.7558065508094326e-05	2.8722780658889180e-01
11	2.0446674838359490e-07	6.2062700000000000e+05	9.9917300000000000e+05	9.7575831059075021e-12	0.0000000000000000e+00	3.5000000000000000e+00	-3.5604896209414501e-05	2.3767160769264303e-01	3.5000000000000000e+00	-3.5792261537551780e-05	2.8722780658890484e-01
12	2.2305463460028534e-07	5.7803700000000000e+05	9.9896400000000000e+05	9.6943156922744556e-12	0.0000000000000000e+00	3.5000000000000000e+00	-3.3021082635540908e-05	2.3767160769266768e-01	3.5000000000000000e+00	-3.3741296677356402e-05	2.8722780658893055e-01
13	2.4164252081697579e-07	5.3968300000000000e+05	9.9879400000000000e+05	9.4876669161627682e-12	0.0000000000000000e+00	3.5000000000000000e+00	-3.0820225512835707e-05	2.3767160769271028e-01	3.5000000000000000e+00	-3.1162052989534938e-05	2.8722780658897429e-01
14	2.6023040703366621e-07	5.0910000000000000e+05	9.9859100000000000e+05	9.1799680869309149e-12	0.0000000000000000e+00	3.5000000000000000e+00	-2.7018080317464588e-05	2.3767160769276660e-01	3.5000000000000000e+00	-2.7083886676615243e-05	2.8722780658902913e-01
15	2.7881829325035663e-07	4.9044500000000000e+05	9.9831500000000000e+05	8.8772985609419990e-12	0.0000000000000000e+00	3.5000000000000000e+00	-2.1211583099620133e-05	2.3767160769281515e-01	3.5000000000000000e+00	-2.1348679681184405e-05	2.8722780658908087e-01
16	2.9740617946704706e-07	4.8283600000000000e+05	9.9807600000000000e+05	8.6520516974679071e-12	0.0000000000000000e+00	3.5000000000000000e+00	-1.6085998903537302e-05	2.3767160769285509e-01	3.5000000000000000e+00	-1.5986375387600598e-05	2.8722780658911873e-01
17	3.1599406568373748e-07	4.7986900000000000e+05	9.9783000000000000e+05	8.3479414969026962e-12	0.0000000000000000e+00	3.5000000000000000e+00	-1.3691378612214722e-05	2.3767160769290294e-01	3.5000000000000000e+00	-1.3855894510091846e-05	2.8722780658916552e-01
18	3.3458195190042790e-07	4.7939700000000000e+05	9.9746300000000000e+05	7.9976427795992521e-12	0.0000000000000000e+00	3.5000000000000000e+00	-1.2413638472035727e-05	2.3767160769295295e-01	3.5000000000000000e+00	-1.2848691624199677e-05	2.8722780658921726e-01
