,ns,Ts,V0s,Is_0,Is_1,Is_2,Is_3,Is_4
35,115296023630.65538,2127.2600737137363,-0.1071133536158746,-3.1150428459477145e-05,-4.209781679968062e-07,-6.073423397631669e-07,-7.813152239895928e-07,-1.2601793896347933e-06
36,66595931575.762634,1770.9141430409338,-1.0559288259244652,-1.5686619195514654e-05,-1.7985073567018915e-07,-3.0502191101850133e-07,-4.1889950584130407e-07,-7.26522125889197e-07
37,94775847948.87773,1162.5455436734017,-0.07690629520303327,-3.025615860412933e-05,-3.9127638335379333e-07,-5.689271892868609e-07,-7.346237034284153e-07,-1.1903792051542785e-06
38,45033227134.84767,1352.725937254477,-0.0242176948399615,-1.5613467736230428e-05,-1.9517952737359355e-07,-2.816379166096206e-07,-3.621791084440059e-07,-5.832800009572653e-07
39,288434849515.9607,828.1681228389884,-1.667556251878289,-4.600977977139805e-05,-4.828470440592984e-07,-9.898148391965593e-07,-1.4272641459954697e-06,-2.565256680373874e-06
40,274603848126.47043,344.0252219795287,-0.5401918559778174,-4.89236138882842e-05,-8.497258659729915e-07,-1.271046761854044e-06,-1.6450359231968031e-06,-2.620748729435634e-06
41,140825147387.08188,1496.9364603994309,-0.27111347129873486,-3.836527072406669e-05,-5.025016673192167e-07,-7.43218840419626e-07,-9.67002685564531e-07,-1.5809137955732852e-06
42,154024479646.1336,1908.1207668236893,-0.07509224500031886,-4.1330465761071434e-05,-5.614128601225003e-07,-8.073880594760818e-07,-1.0371396195668531e-06,-1.6698666555048506e-06
43,205114250930.2954,1734.7732934076773,-1.138977119534645,-4.096480220478859e-05,-4.832683143694302e-07,-8.252743035371143e-07,-1.1358327454600158e-06,-1.974090496461033e-06
44,82744702196.80928,1584.9034685477209,-1.480136613586076,-1.7158352129053473e-05,-1.7523901189250918e-07,-3.3899850484750155e-07,-4.856940472726211e-07,-8.788902926453582e-07
45,200646525075.7696,1568.8635231610447,-1.9169791364678954,-3.1532578372995814e-05,-2.755879948193619e-07,-6.470353379412359e-07,-9.701474702084722e-07,-1.824136200444465e-06
46,68065635505.95952,2411.289103498001,-1.05453938750389,-1.459201292628479e-05,-1.7500132279860211e-07,-2.9211486741570414e-07,-3.9857782769480346e-07,-6.857336838850637e-07
47,73272653216.00165,2171.4469604264095,-0.06761504885664404,-2.0823138927669875e-05,-2.7774229528772403e-07,-3.9886927146547687e-07,-5.117812690120649e-07,-8.219421095037403e-07
48,64252291683.18313,575.2511391870024,-0.06577860784988698,-2.452401958497637e-05,-3.0989872871061467e-07,-4.531595756598437e-07,-5.865082426898129e-07,-9.525083411466831e-07
49,67466181151.46782,473.09739549899973,-1.5281548044921984,-1.7335520214221996e-05,-1.625408007676736e-07,-3.339061879309011e-07,-4.856839391701592e-07,-8.892664823201399e-07
50,92841658926.79552,1098.8957681721822,-0.7913994379994034,-2.5289175642682044e-05,-2.9699420624547907e-07,-4.816323412305424e-07,-6.510577692083823e-07,-1.1116078544075073e-06
51,135281122547.28407,2046.5986937695818,-1.6222166420490378,-2.3806939193240498e-05,-2.4421185269761627e-07,-4.877003913365203e-07,-7.048219455850559e-07,-1.2858254875892792e-06
52,119366638098.91925,502.88636364920455,-0.0758977628499291,-3.655804679724719e-05,-5.161632176799987e-07,-7.483156949018499e-07,-9.628045570578005e-07,-1.546176875714736e-06
53,43119599990.809944,1545.2632790553503,-0.13420000875431803,-1.4067190716800394e-05,-1.755691157254688e-07,-2.5577254002564643e-07,-3.302643171783461e-07,-5.341736856978364e-07
54,101478776239.61284,857.5130825344121,-0.5984429714700357,-2.944632745687145e-05,-3.588947618647893e-07,-5.62768576342669e-07,-7.504207526122616e-07,-1.2611831698792252e-06
55,50968147173.46055,1706.4812707370431,-0.7260372382956717,-1.3668545744309026e-05,-1.6296151641147674e-07,-2.583583176936378e-07,-3.4583833740545507e-07,-5.831565461540794e-07
56,280280698864.07245,1450.940691502397,-0.9994141466329831,-5.488583220781493e-05,-6.869493332807346e-07,-1.1305498879994904e-06,-1.5328373509666367e-06,-2.6148723356744846e-06
57,52845027221.04136,1038.8518627618612,-0.9278684492473364,-1.5295509411134547e-05,-1.6918977161271323e-07,-2.8374837212180996e-07,-3.8836233160439306e-07,-6.71804390967819e-07
58,96880100188.16426,1182.4335970864413,-1.0836312692848729,-2.382659519996475e-05,-2.656715259319399e-07,-4.589947623306305e-07,-6.348392628791215e-07,-1.1102277700492432e-06
59,111981337152.17825,1473.0729430520705,-0.56529690705504,-2.96523789304149e-05,-3.6987598202846026e-07,-5.720240018321993e-07,-7.588102200001781e-07,-1.2690480084159657e-06
60,86249969524.78833,1036.8590145298128,-0.7386358021540391,-2.4390144361621265e-05,-2.870385565065405e-07,-4.6155786196628585e-07,-6.21906575151168e-07,-1.058162040474152e-06
61,59445184476.398315,2563.7009551719602,-1.2324671154990121,-1.192923038039501e-05,-1.3915129495190665e-07,-2.4150017660325394e-07,-3.3377369768460736e-07,-5.811710880247571e-07
62,271613895923.97342,1686.5181018592855,-1.6128895077604397,-4.456078328089872e-05,-4.6845521878768306e-07,-9.205979527770126e-07,-1.3210408141952025e-06,-2.3860544445623357e-06
63,41284134936.13287,2635.111715822269,-1.2811102086196273,-8.227789793806406e-06,-9.455505463771689e-08,-1.654697646751046e-07,-2.289317487474856e-07,-3.9791221535329377e-07
64,61584362393.34109,2293.1664757908097,-0.023120947886661636,-1.76432225197246e-05,-2.3570348470054393e-07,-3.361639522901105e-07,-4.297512881430193e-07,-6.865234607703907e-07
65,87886860037.61884,1826.1061154126737,-0.23335642589108319,-2.4743555953355082e-05,-3.227727550036379e-07,-4.7472721875161176e-07,-6.161173240684897e-07,-1.0042372944986587e-06
66,68558145906.63362,666.3312058832513,-0.2950563905777699,-2.415231302376723e-05,-2.9722332242014506e-07,-4.4734765164392026e-07,-5.865280095856768e-07,-9.67449308997744e-07
67,57545407548.09782,413.8384040298104,-0.2329073846466585,-2.206177099160023e-05,-2.7777383282300104e-07,-4.1525547266233573e-07,-5.425642667643083e-07,-8.90374445140616e-07
68,107166046293.74673,1384.8774772184208,-0.7601886275508003,-2.7516762401884153e-05,-3.3145330142991907e-07,-5.3105834658721e-07,-7.145453986420156e-07,-1.2139818010350884e-06
69,171881034624.37296,310.30225548873665,-0.15603674847431703,-3.991671282242239e-05,-6.71645821310447e-07,-9.663711827771418e-07,-1.2335976965669207e-06,-1.9446618815290283e-06
70,249402391069.81546,765.4131484233836,-1.8471663432951717,-3.908552067453448e-05,-3.6374692648168766e-07,-8.326531597564965e-07,-1.2320591084900377e-06,-2.2664817693493796e-06
71,169614055965.49442,1992.956475010995,-0.18348852894233914,-4.3427707592741375e-05,-5.882091212071655e-07,-8.548693464133603e-07,-1.1034770066650019e-06,-1.7871180689027477e-06
72,174247915861.9974,1262.5903977991084,-1.0517126711306406,-3.818169562711909e-05,-4.4881575758524157e-07,-7.595443755959159e-07,-1.0417800532271807e-06,-1.8030471640385827e-06
73,138520538838.81342,756.3484883716809,-1.3753495351113476,-2.982206628590039e-05,-3.1955368909942495e-07,-6.018518183483482e-07,-8.534334320586505e-07,-1.5233513948901048e-06
74,72311344449.17946,2600.160804285279,-0.30068559690713714,-1.8438464152316834e-05,-2.463075589192439e-07,-3.6140946206101624e-07,-4.6815189814461814e-07,-7.600280594388605e-07
75,101108312933.85161,2330.579536748858,-1.5890893612053545,-1.7888950909631177e-05,-1.8841497047782919e-07,-3.691685517643189e-07,-5.304878083585903e-07,-9.619886871134186e-07
76,165092097098.62698,1612.8259765233674,-1.8465476140227843,-2.738928850808038e-05,-2.4676940077119954e-07,-5.580714368837741e-07,-8.31006626480114e-07,-1.555356534614616e-06
77,51054740902.77047,610.6950349765907,-0.5597877643798004,-1.828590636789e-05,-2.1119365278793865e-07,-3.321328661518561e-07,-4.436273423742986e-07,-7.47644501136277e-07
78,58961848695.52415,2456.600149953963,-0.6958577402380157,-1.4042530104460418e-05,-1.7735005468349703e-07,-2.7579435734534945e-07,-3.661058623032346e-07,-6.109715548633769e-07
79,173337215521.56693,1133.6161506545304,-1.8575174172520752,-2.9641725317876665e-05,-2.584040254039958e-07,-6.006631058274559e-07,-8.983236949099482e-07,-1.6835290671780374e-06
80,107133203638.93575,1819.7717725384157,-0.8855252672024385,-2.5028372154120178e-05,-3.022492839487313e-07,-4.923694842311082e-07,-6.666823087929578e-07,-1.1403521451415245e-06
81,62773235391.00932,2018.6431639490163,-0.8007355427081684,-1.538787303596619e-05,-1.8690661736701028e-07,-2.986872490322985e-07,-4.010914603954218e-07,-6.787713136751283e-07
82,275394386559.23444,1028.8341494723354,-1.9369325888007363,-4.121555769431263e-05,-3.6054577492996404e-07,-8.640934954465792e-07,-1.2929678856513093e-06,-2.4078904240777304e-06
83,69207499033.006,799.6583833382612,-0.7171157586152646,-2.143522948257826e-05,-2.4774347740497856e-07,-3.9895242169993154e-07,-5.378533310889282e-07,-9.156680194982852e-07
84,82217667145.32455,830.6603280885594,-1.1685518119882268,-2.1537587691990806e-05,-2.2947308351472714e-07,-4.0960976557500336e-07,-5.7263994157188e-07,-1.011890803113734e-06
85,248048809514.925,426.5517878049005,-1.4598871457750988,-4.013594545214594e-05,-5.020171320861531e-07,-9.45150746115836e-07,-1.3250251470335187e-06,-2.3007952199197518e-06
86,291296973828.54315,1420.2026906190158,-0.5980462542719325,-6.244545433144146e-05,-8.395128183441308e-07,-1.2831796495128607e-06,-1.6900322836129431e-06,-2.791905512715081e-06
87,260334250449.027,1451.3449245816623,-1.5079021516877522,-4.495746567602582e-05,-4.871610253912886e-07,-9.269402926587928e-07,-1.3176733839720855e-06,-2.3573266503157597e-06
88,184569233095.4206,680.0078887192137,-0.6495843996431552,-4.408830942780105e-05,-5.871518505448372e-07,-9.16603055197029e-07,-1.2162178013550425e-06,-2.021037861409999e-06
89,107423366050.41763,722.0573736031569,-1.6479928030383808,-2.2886484165615844e-05,-2.1134754647023488e-07,-4.5118515364944425e-07,-6.623604311732104e-07,-1.222242812893121e-06
90,80941923474.76701,2134.534084873745,-1.765302759141659,-1.3986869949506045e-05,-1.3412844102965826e-07,-2.876447576293811e-07,-4.230126198947394e-07,-7.828136859471406e-07
91,40569552456.5722,1527.627758261401,-0.003736399326064621,-1.3769415543565273e-05,-1.7281500638234516e-07,-2.480124303783162e-07,-3.179977234668065e-07,-5.09847527923639e-07
92,45087289496.831474,1030.8659142079082,-0.8601337348990374,-1.3617967062495675e-05,-1.5097726644133548e-07,-2.4952235452156487e-07,-3.396312762317633e-07,-5.838996977648803e-07
93,98097525281.12303,1012.4955330083662,-0.3561227305780288,-2.9842735233239216e-05,-3.7431173765066834e-07,-5.647523532549045e-07,-7.412755011535474e-07,-1.224407303741794e-06
94,79210598731.59631,1537.275015064849,-0.0810464556629471,-2.4436572083682003e-05,-3.174346818323704e-07,-4.6022030290128245e-07,-5.934197925045225e-07,-9.598069276888025e-07
95,129237008490.7791,317.11996555186613,-0.2877040985201609,-3.317393444380091e-05,-5.18519764515272e-07,-7.652987349915663e-07,-9.898246139341883e-07,-1.5907287264572545e-06
96,113248509751.56236,1291.7310426506988,-1.2973147450957128,-2.503744231968811e-05,-2.68392910968748e-07,-4.899186455641388e-07,-6.898541795218074e-07,-1.2279222284135559e-06
97,169659011437.19342,2519.873316443891,-0.6290380905506443,-3.722625093967066e-05,-4.907129275712224e-07,-7.522672134550239e-07,-9.941159019232334e-07,-1.6552652535909536e-06
98,41110464516.059746,944.8706815410859,-1.634519472354664,-9.99539969390702e-06,-8.74367012818607e-08,-1.8692575841685965e-07,-2.749492006530869e-07,-5.092792258337893e-07
99,229103581821.1284,1517.0785495420603,-1.2184219027595666,-4.4364453976826174e-05,-5.158485809301682e-07,-8.996619792015713e-07,-1.246120960559437e-06,-2.176917394822585e-06
100,96406720106.12408,1899.7840580500333,-1.1612082614821935,-2.0808430995703222e-05,-2.3862630961888856e-07,-4.1349299576103003e-07,-5.723615341500373e-07,-1.0015347845503519e-06
101,119390740927.63496,1372.450830967264,-1.3124700211945228,-2.576090058403449e-05,-2.7705846538949244e-07,-5.065712452002834e-07,-7.136551163506594e-07,-1.2708978022140883e-06
102,218376566984.99808,972.0744052901828,-0.8007902089101044,-4.844208021284875e-05,-6.213409755514694e-07,-9.932089461227625e-07,-1.331318520470899e-06,-2.2409487369043637e-06
103,123068132620.63364,324.4499564656636,-1.1622921179158354,-2.6973291655682743e-05,-3.4347940700846823e-07,-6.025978199443495e-07,-8.314985332223364e-07,-1.4330098360921625e-06
104,106506728845.4349,1635.133038881146,-0.3375083042574514,-2.9360645257883753e-05,-3.7837941049751736e-07,-5.6501828012476e-07,-7.383925763052378e-07,-1.213840093795725e-06
