,ns,Ts,V0s,Is_0,Is_1
0,114022152242.97845,1504.2512284001655,-1.7714646402876362,-2.07653604214279e-05,-9.23100601298384e-07
1,92696593879.97816,2705.5203028121214,-1.8256669847768736,-1.448764938072805e-05,-6.72535170288685e-07
2,46356432110.191345,1780.8799909562736,-1.3162077381402992,-1.0345763249313527e-05,-4.056674794841405e-07
3,58875240976.44332,1895.8790813648234,-1.5919308086665043,-1.1505556291254786e-05,-4.875733356395866e-07
4,289690137061.64923,1315.721555125741,-0.2677168662752727,-6.700137548813876e-05,-2.3988110214605537e-06
5,96406584877.0873,2597.1701370140604,-1.7812943283344147,-1.547183101586264e-05,-7.085519549725654e-07
6,67390736039.032036,2401.7170742260023,-0.5602726515316163,-1.660176512653278e-05,-5.884150731131402e-07
7,203282359463.92456,1156.7200918272747,-0.7911558832616274,-4.5933743125331726e-05,-1.7337147839326067e-06
8,40309261726.339134,1148.218281341247,-0.8317191218776248,-1.2090442246010117e-05,-4.2039201910828404e-07
9,42080923502.27645,722.1242474832229,-1.8507289440527552,-1.0025437589949325e-05,-4.3204023126555996e-07
10,183087236165.04007,1172.140081381469,-0.8628920702767142,-4.184411930575422e-05,-1.580758403480529e-06
11,64365964906.9596,1127.0623084770734,-0.43003149708737687,-2.029018887692354e-05,-6.836063899032924e-07
12,51758053368.34014,1462.571708703008,-0.7236012686833366,-1.452278166412035e-05,-5.083894743197552e-07
13,47618687609.50925,1344.8603860672838,-1.94480323556265,-9.125618949105612e-06,-4.143726584809833e-07
14,88352381172.33652,2517.3217482220975,-0.3190610362627242,-2.2300513668407028e-05,-7.744396439928275e-07
15,114786667646.55077,1663.8939659069163,-1.7890222163188356,-2.029367746755717e-05,-9.103073133452016e-07
16,201978449751.28165,1346.911747523859,-1.5452241761801628,-3.67345324986215e-05,-1.5615386821875163e-06
17,194163028476.82947,1814.8033651630146,-0.3640002348816065,-4.740733008150322e-05,-1.6671835733192064e-06
18,123789552271.04121,1790.385124709986,-0.8581868431058095,-2.8730334424281613e-05,-1.0729185098981074e-06
19,62102099764.30611,2932.2052342557886,-1.54262873643326,-1.0732902578995445e-05,-4.6223043753226336e-07
20,116336487693.97224,1897.718853115887,-0.40867209210432587,-3.0114848718780954e-05,-1.0536333285311997e-06
21,142703170355.40936,718.4515624403289,-1.1774852315289535,-3.223778488314909e-05,-1.2994585635041317e-06
22,113620202328.94237,2881.986553437042,-0.1418274345432058,-2.8127722928230866e-05,-9.701724317961272e-07
23,213303417970.8426,1323.9792714862344,-0.0649439511505221,-5.587889153052601e-05,-1.9212658523197934e-06
24,174739127670.67328,1445.3230965128369,-1.4520307443449294,-3.349782026501325e-05,-1.391393611399415e-06
25,69345622633.93161,2524.5834876103477,-1.8655569960546226,-1.1064661247856136e-05,-5.142566836706754e-07
26,132133428263.95697,782.3788344584922,-0.7669574800596315,-3.41601399937184e-05,-1.2748195397015227e-06
27,119239833800.9785,2907.037358541666,-1.9687363687726476,-1.7006834899420814e-05,-8.25167520667536e-07
28,58500030724.6013,2474.135588743041,-0.3547577495373899,-1.5182279594813164e-05,-5.190548882695327e-07
29,159527599648.93713,2667.9400408641977,-1.7502547014234686,-2.4785921702260864e-05,-1.128568243044285e-06
30,157487144241.71652,1798.2693976567261,-0.4673435383077038,-3.89604679279834e-05,-1.3810172868098355e-06
31,45190825047.34877,914.4026152697357,-0.3622941135352551,-1.601595613213332e-05,-5.211689429216439e-07
32,262643400051.5188,1408.0260549783513,-0.5791037474102432,-5.7953852034342933e-05,-2.1418989651546095e-06
33,128595143646.03757,2231.2490885618104,-1.5599886477773264,-2.2768946305446604e-05,-9.823171877831396e-07
34,227743461830.7512,2871.3428421059652,-0.609975881512933,-4.713274593526158e-05,-1.7447007917159571e-06
35,56946982276.65187,1145.1042907658111,-0.4840166766019056,-1.7940974529187563e-05,-6.054199116244543e-07
36,62882834018.94131,724.5093934323431,-1.1397165638162041,-1.7916037048903438e-05,-6.718358734107081e-07
37,58247046929.04475,1332.7117832671665,-0.7261913178735517,-1.6530083674124005e-05,-5.816015826733946e-07
38,69061690649.1433,1276.8390384691238,-1.8439338962058827,-1.3488068433281316e-05,-6.019380754699868e-07
39,69642939066.03325,2899.6493054292214,-0.9623265087233925,-1.4448243872469437e-05,-5.546104440233592e-07
40,58119533766.73048,2224.126267252018,-0.2952806746487644,-1.5849204135010806e-05,-5.337735897834388e-07
41,64314659778.54522,2195.8011852181253,-0.6503452922990725,-1.5970859515367887e-05,-5.69837870924108e-07
42,177524481499.6921,850.6189216723648,-0.9828516780792746,-3.978744642549913e-05,-1.5573742652434481e-06
43,191885885457.23004,2718.1272318345486,-0.6181105661445059,-4.091886720989087e-05,-1.5114295454843516e-06
44,165346490588.40607,1842.969513193299,-1.6478770563114988,-2.8787147841802447e-05,-1.2548211412568788e-06
45,58760990152.62711,2176.8134488407504,-0.8940914668836109,-1.3773828393975158e-05,-5.093312277633559e-07
