,ns,Ts,V0s,Is_0,Is_1,Is_2,Is_3,Is_4
0,57671937485.4127,633.3821887335503,-1.0581022843300236,-1.748427024410938e-05,-3.673566132675348e-07,-6.010102795042354e-07,-8.049762562980127e-07,-1.3323858561331342e-06
1,69800493824.98216,2315.639372036567,-0.495816128209027,-1.7633749976991316e-05,-5.217748801152186e-07,-7.674042386559491e-07,-9.932058387079934e-07,-1.6055562751775987e-06
2,237424307713.66666,1263.3186174285684,-1.9687206569508344,-3.593519453902013e-05,-7.304315651122955e-07,-1.5517126158639031e-06,-2.1969911861364205e-06,-3.7664045526661665e-06
3,223859146156.15323,595.9901474415135,-0.7129291612356057,-4.7842485337468437e-05,-1.3666093221622184e-06,-1.9913698918603867e-06,-2.522478673213012e-06,-3.8452629483951876e-06
4,151726790345.03842,663.1575773281751,-1.18240661431925,-3.36994022858828e-05,-8.011833529520667e-07,-1.2953762021218954e-06,-1.710448083014335e-06,-2.7442023464465115e-06
5,40595881650.48815,1551.0746715700611,-1.4846411683102225,-9.024724183986773e-06,-2.1047743279036784e-07,-3.9272348393701217e-07,-5.545128969051025e-07,-9.84381005379422e-07
6,82211409603.9146,2723.231701337857,-1.5035983348471504,-1.4528573204050265e-05,-3.919271737042811e-07,-6.924092751379953e-07,-9.58772637031818e-07,-1.6661542185694437e-06
7,42667112684.73748,415.5619694638915,-1.528898415474165,-1.2575314770590283e-05,-2.1986595743673262e-07,-4.179907828743861e-07,-5.848166300637118e-07,-1.0069316313168224e-06
8,73304837265.04472,2764.832869676543,-1.4631746451885532,-1.3158952499729643e-05,-3.610214582868229e-07,-6.33369796887292e-07,-8.760350358227287e-07,-1.5229052760864257e-06
9,54924624622.557,2577.2559482476004,-0.0021278366393855386,-1.5342268900226274e-05,-4.898006012340422e-07,-6.849859673801443e-07,-8.670791512987372e-07,-1.367373388676828e-06
10,66481049413.83117,2740.6336102488754,-0.8399100177216123,-1.4580550071716381e-05,-4.3970741286721424e-07,-6.77967644479092e-07,-8.958015594084138e-07,-1.4853523708624782e-06
11,96361485882.66354,660.8125452115152,-1.5242072266489062,-2.2134403975047274e-05,-4.44323993853096e-07,-8.116994474243136e-07,-1.11753303760534e-06,-1.8820437355683761e-06
12,117420189406.86087,1453.6045004898522,-1.6599917452572726,-2.2351880881900866e-05,-4.858347036939975e-07,-9.153280759315782e-07,-1.2791770080591072e-06,-2.209073880692827e-06
13,83533734470.01727,1355.0554821928927,-1.4879627511105724,-1.7938269055654763e-05,-3.9855433819102514e-07,-7.205059286303887e-07,-9.994549522677113e-07,-1.723297714851778e-06
14,108664007690.27975,783.1610722353128,-0.49953188721121355,-3.1859282900406444e-05,-7.793021744569577e-07,-1.1316138406747538e-06,-1.4429050507842505e-06,-2.249396870840834e-06
15,275811620740.6297,1570.5719214888975,-0.9546152280724518,-5.477637958411969e-05,-1.507388716681669e-06,-2.2751077232968035e-06,-2.93761663020118e-06,-4.623714632874235e-06
16,145501795114.8276,328.09704941221236,-1.9587818868859899,-2.3305950674722986e-05,-4.5534833182871596e-07,-1.0117502066795004e-06,-1.4264001053417101e-06,-2.392415511564845e-06
17,153694796776.18848,1455.9715712825175,-0.7470995971375978,-3.689290615674946e-05,-9.610807091800117e-07,-1.4326389435596516e-06,-1.8496985494689062e-06,-2.93570719512779e-06
18,123814640467.8932,689.9258830841898,-0.05193882637203595,-3.816122027433841e-05,-9.947917092601046e-07,-1.3644590640930607e-06,-1.693639061162274e-06,-2.548722931127248e-06
19,44970864759.376465,674.8685749133363,-0.9593203321902328,-1.4577652960194428e-05,-3.1194360443310316e-07,-5.0506098923862e-07,-6.76089003932746e-07,-1.1243068583897672e-06
20,125598535471.44928,2716.571304886641,-0.589007607283212,-2.8162609721639486e-05,-8.444331167764889e-07,-1.2298216659526992e-06,-1.5806450502738692e-06,-2.522575422524604e-06
21,267583843601.72977,2765.589021047529,-1.2215805218029618,-4.64630914001459e-05,-1.3312505419932373e-06,-2.0818905260445138e-06,-2.734223427695172e-06,-4.420767481310227e-06
22,72344351703.89053,2363.0565608686493,-0.6188785350334927,-1.7548126245268947e-05,-5.158852741461499e-07,-7.702372299339321e-07,-1.0032802505948957e-06,-1.633753108763506e-06
23,79064294321.93167,1560.1906960124452,-0.532380009716273,-2.1834632842892847e-05,-5.80616701352932e-07,-8.585060921065884e-07,-1.1108904653123037e-06,-1.7861378578106124e-06
