,ns,Ts,V0s,Is_0,Is_1,Is_2,Is_3,Is_4
0,96759842215.7915,2470.981113573565,-0.8587721714501273,-2.1247874613023824e-06,-2.663404646611202e-07,-4.2650969153190547e-07,-5.734197978230463e-07,-9.724549252319651e-07
1,192813409502.74237,1538.0092043026068,-1.3403628791953155,-4.285240370982096e-06,-4.13481523200137e-07,-7.505222977680182e-07,-1.0538336935818713e-06,-1.8680817355241754e-06
2,198107495823.97842,2754.716972706509,-1.0820944972652848,-3.842759641761342e-06,-4.641839794116317e-07,-7.679965097482079e-07,-1.0455986860249524e-06,-1.7986686968386337e-06
3,210342967502.54257,1481.838677177546,-1.2508340353417622,-4.866120814724789e-06,-4.709806188891593e-07,-8.314886828214551e-07,-1.1566730143387277e-06,-2.030218060789739e-06
4,81282406243.58807,2122.800556830274,-1.7698011772120965,-1.3893088390106196e-06,-1.3420903056133346e-07,-2.886453296490383e-07,-4.247915860759937e-07,-7.866382056033201e-07
5,53988514062.46996,2627.7594128872283,-0.9148916800401601,-1.1377067861454277e-06,-1.46974441011277e-07,-2.3683640093178668e-07,-3.186454744981135e-07,-5.391549119976982e-07
6,192916369263.52313,811.2068892598431,-1.6112795025488742,-4.881096805648395e-06,-3.57238210377687e-07,-7.290908928103974e-07,-1.0545959801765537e-06,-1.911490006388926e-06
7,66845052635.73969,1146.1068380550983,-1.0064542198579847,-1.9445027465694177e-06,-1.9862249566422025e-07,-3.3811283487444914e-07,-4.652779269173071e-07,-8.095278535442573e-07
8,63889160285.14606,775.2485846136515,-0.26573176871656345,-2.6962498838775066e-06,-2.7642991072517486e-07,-4.142387351649411e-07,-5.421942601311726e-07,-8.929064159448995e-07
9,50924423285.623886,1069.1180614119585,-1.2667467449466054,-1.4113118861087364e-06,-1.3561370773745924e-07,-2.487926214079463e-07,-3.508777793203958e-07,-6.254104402749514e-07
10,52176031331.57059,432.40031891917135,-1.1211149473747493,-2.1937782503791008e-06,-1.7277278402429475e-07,-3.0817049955675544e-07,-4.3055458521368323e-07,-7.597995103107686e-07
11,78852591598.66495,1587.0267166725396,-0.604374507841998,-2.2481409193511346e-06,-2.617429393015803e-07,-4.0747644195460497e-07,-5.419399570687101e-07,-9.087823550690234e-07
12,169583061579.15387,1515.022259954769,-1.8829901502655626,-3.090549906288086e-06,-2.446248927858596e-07,-5.68014651253773e-07,-8.504297443096293e-07,-1.598424227238516e-06
13,148605932198.93555,758.7378330088154,-1.676354272747115,-3.8326393754422644e-06,-2.718693696823558e-07,-5.80533433871421e-07,-8.506245569021778e-07,-1.5630068873948501e-06
14,174657479058.38544,910.1040853217152,-1.178135615896624,-4.998519286111761e-06,-4.314177944146431e-07,-7.572029198125257e-07,-1.0501093741398509e-06,-1.8336522190496902e-06
15,101133299904.73445,492.60271779389103,-0.7100958293916964,-4.338836522525079e-06,-3.592936839771434e-07,-5.746656136495777e-07,-7.709194261622477e-07,-1.2999400762624952e-06
16,219147955018.29224,1452.4681848088105,-0.8178258463114745,-5.8342245070673536e-06,-6.022359877415278e-07,-9.623664430991872e-07,-1.291825218637227e-06,-2.184203591115959e-06
17,70772196700.60454,1690.543638269694,-0.7517074010042364,-1.8873409185752329e-06,-2.2052867875407643e-07,-3.5160653918690963e-07,-4.720185267091938e-07,-7.994249895313607e-07
18,81728571134.12306,2765.0117537784367,-0.5973136778706953,-1.8439304637453474e-06,-2.4726970027710115e-07,-3.770302784128328e-07,-4.966747131337944e-07,-8.225253153013774e-07
19,68868064658.99257,1012.038864810747,-0.220910917222634,-2.627108839973738e-06,-2.8732945686905777e-07,-4.267026860563e-07,-5.563101239456721e-07,-9.119979846195086e-07
20,93705553964.46106,1563.3626060666477,-1.2941395826812816,-2.1619368327395498e-06,-2.214284766136985e-07,-4.019421172407488e-07,-5.650421052073119e-07,-1.0043241057957095e-06
21,61050377680.412865,886.8169775624782,-1.5828330019303607,-1.6166676697328426e-06,-1.32519134229629e-07,-2.7620550515433423e-07,-4.039305292232019e-07,-7.449896340210762e-07
22,47824641605.740814,2101.750160972506,-1.8964545582635661,-7.783473070615051e-07,-7.169798545746848e-08,-1.6650715922553993e-07,-2.4873268385527513e-07,-4.649970314538701e-07
23,95598966725.20694,575.1809940679315,-0.6883382095216803,-3.9352568893971204e-06,-3.4240998585862926e-07,-5.465534044307269e-07,-7.332679018624516e-07,-1.2385164000325753e-06
24,76442466146.95851,2727.612148954632,-1.0954807910293984,-1.4997797362631918e-06,-1.884799115784731e-07,-3.152874062211184e-07,-4.304884276424564e-07,-7.411031040151713e-07
25,287912129080.1176,1563.9031415745703,-1.8386149027744374,-5.15631159331686e-06,-4.129513925591505e-07,-9.052813086074005e-07,-1.333531693674442e-06,-2.4622214456326253e-06
26,48569680642.259834,1618.739717428929,-1.7860176931269993,-9.245539339444877e-07,-8.299427302786969e-08,-1.8542735688978667e-07,-2.7514967544683535e-07,-5.125466879724545e-07
