,ns,Ts,V0s,Is_0,Is_1
0,121561944465.2662,1691.373460744652,-0.10094231632917916,-0.00017990777428119857,-0.0001308547997399213
1,46858121418.1521,764.146757676783,-1.1575496439626114,-6.749298900034493e-05,-4.0637901182660557e-05
2,263552049057.15372,1417.6523604325132,-1.9367435597186702,-0.00019832736090394487,-0.00010273845609018861
3,156413932835.74646,638.634193092581,-1.653893711320986,-0.00011267817794042361,-6.944624507799032e-05
4,97892499607.24171,1350.0061801494248,-0.8670231170527083,-0.00012965212915504057,-8.472579307475227e-05
5,105414289444.91219,622.766660143099,-1.386903549300332,-9.537779028087861e-05,-6.015359997595407e-05
6,279421692566.6443,335.5686732669064,-0.3980408746511741,-0.0001393299041474547,-0.00011498457276659402
7,64693150151.46727,1582.8053201005807,-1.7175364876635093,-7.811157297489162e-05,-3.752112360756883e-05
8,61682947214.73582,633.3731673332695,-1.7603654124234889,-6.570197086616386e-05,-3.303579359805512e-05
9,204115901404.2997,366.5934461320289,-1.6237939066188407,-0.00010226902557920856,-6.800267992654401e-05
10,193098134255.023,329.98033847718074,-0.4520182957265819,-0.00011074688473246398,-8.87046737671716e-05
11,70024145790.0514,694.5944923977893,-1.96628280502548,-6.835758400098212e-05,-3.0239491868271776e-05
12,107084046220.99753,2774.412758497923,-0.7313670402128318,-0.0001506694533641337,-9.839483488124874e-05
13,98827683224.08698,1106.2757595176568,-1.6218871392801473,-0.00010522470925493168,-5.655354461081625e-05
14,214872675610.43005,563.7535696281432,-1.9164611704747327,-0.00012126666606624777,-7.062535248976366e-05
15,64572724174.14086,540.1394866458518,-1.0466664412715017,-7.433337477962725e-05,-4.873379192369171e-05
16,69725612586.0577,1982.4674379211826,-0.7088639227108373,-0.0001085972054391598,-7.019203004324751e-05
17,143164680250.34592,1792.9312946126286,-0.177993229939164,-0.00020051849541427314,-0.00014557594945507232
18,61038515538.27356,2763.817076429446,-0.26544547749622005,-0.0001064788832003269,-7.240253630932788e-05
19,161370047486.7629,1995.4814899431444,-0.8787235571213245,-0.0001945988062877741,-0.00012867496687977162
20,47658626149.797646,2461.4689131458263,-1.0019400290076217,-7.441901884553931e-05,-4.4117461050078186e-05
21,77098613439.18837,2419.917503481754,-1.0342767491618623,-0.00010894644913825252,-6.593110176516272e-05
22,106690714035.08836,1329.7105104778618,-0.6324815275672615,-0.00014366261132047915,-9.825674124815883e-05
23,132835443546.59229,1236.6012680693052,-1.222499978102735,-0.00014300919059135914,-8.963114708486388e-05
24,101588099785.8569,2608.445569733326,-0.27731260364032595,-0.00015840638001648124,-0.00011025502275253989
25,54336835303.80456,2668.7403547875565,-1.358112465560636,-7.466769884102225e-05,-4.0424620369270885e-05
26,69231733837.82315,937.7731314392801,-1.45965851489621,-8.414185064927452e-05,-4.703522082069097e-05
27,40465596210.09938,1359.0503394307982,-1.921011282692321,-5.1194890169225324e-05,-2.056723580069413e-05
28,247661770520.50632,1194.4455099732252,-1.4677913959429472,-0.0002004202778673339,-0.0001278716456340884
29,136981774612.47214,2419.1222272905534,-0.21903334925112583,-0.0001990707308015454,-0.00014207530820594885
30,201891880270.82184,2012.9458002401898,-0.6487835066454171,-0.0002372047998076407,-0.0001654258027395712
31,295918396923.3349,1226.5674329078552,-0.7607174951106663,-0.0002541869187090112,-0.00018896071284891003
32,91948444245.64024,1497.8375568837978,-1.6335710102292262,-0.00010396478431965397,-5.399844597155674e-05
33,242473926829.42413,799.9010183374397,-1.6229851439262568,-0.00015862116920158366,-0.00010318209311323596
34,87585575901.87238,1016.9531291708092,-1.616023816514614,-9.572238537440925e-05,-5.1244218105766736e-05
35,69043312080.60011,677.6789585445223,-1.6365861639956811,-7.38573945824852e-05,-3.9767572742917736e-05
36,139274276001.8496,1614.4940620026139,-0.5835524238932659,-0.0001795443291838274,-0.0001245580334837983
37,197468440363.97754,1711.1968189082447,-1.7627068140731434,-0.00017585607643380436,-9.331816944219827e-05
38,131954969633.86356,1199.4985547425463,-0.2657007486693568,-0.00016880304659010173,-0.00012370352139860262
39,132276613886.66406,567.1710764691882,-1.2782888738843325,-0.00010492090316910246,-7.10693090653256e-05
40,128609063807.80603,2276.281744078835,-0.31947753711247917,-0.00018559234212366668,-0.00013080414864185118
41,97339573345.06892,1314.7600997428485,-0.17188975661476058,-0.0001467685207894391,-0.00010589414173596998
42,56797779418.85929,1392.0155593817315,-1.307777862944544,-7.9244668475076e-05,-4.4740348547456686e-05
43,83799539819.97719,1347.483700742205,-0.5834931441100497,-0.00012307342495731648,-8.354123145368397e-05
44,48297853387.9308,1752.159395976059,-1.1660188654449393,-7.357897837921454e-05,-4.2249731234963925e-05
45,82002448207.2352,1210.4155764587401,-0.0694964312871309,-0.00013137229879677572,-9.533112204207984e-05
46,94139099692.0575,980.2702299362886,-1.0364442175551971,-0.00011375234387352996,-7.326087034556618e-05
47,46923127149.08823,2338.33040828653,-1.6989875206718275,-6.025003875847694e-05,-2.8064502303114017e-05
48,219369638029.2788,1573.5327842011502,-0.9869366753194457,-0.00021769309116380893,-0.00014826359910579794
49,142977326319.13483,953.760363205968,-0.34479508973660544,-0.00015956979537884322,-0.00011882909994559657
50,114250625644.72629,1988.9655754735684,-0.17857744071373927,-0.00017252257135030616,-0.00012342399985192115
51,44674529934.15412,645.2684068645456,-0.8236477608610044,-6.856870226807639e-05,-4.471388756886059e-05
52,111223477984.85034,1766.7554417491647,-1.8077572061841147,-0.00011568039757821223,-5.556918886313527e-05
53,275609115001.08264,1011.1066074616379,-1.5532599378522143,-0.00019481380661192833,-0.00012707633877880525
54,50862471803.946594,2724.2008089511223,-0.4883669927278258,-8.795382484446175e-05,-5.746884056212998e-05
55,258592547870.6467,754.8804045772647,-0.03280245300250173,-0.00020313070888424147,-0.00016552348289916087
56,143811590634.00452,1809.4521281904854,-0.2387265896204651,-0.00019937682532269901,-0.0001437832361463362
57,73837841270.0033,1162.9576759632876,-1.3019693665675827,-9.434537072945235e-05,-5.504467748606433e-05
58,40410652130.865456,950.4016503962351,-0.2838469589993753,-7.596487699437319e-05,-5.2493421674761454e-05
59,61715658126.741264,1543.9376561698002,-1.9047109812676997,-7.094163996836623e-05,-3.0185588630302707e-05
60,62342503898.03697,2771.730181476914,-0.9168565585026882,-9.370443581802709e-05,-5.736160601606107e-05
61,62627979310.140854,901.9040184863748,-1.8825540739168356,-6.922278462921416e-05,-3.1093211522062915e-05
62,220743443095.25986,1832.829657821027,-0.22273727804730425,-0.0002612584290413697,-0.00019441145905948698
63,176833080050.99036,1032.5278329848666,-1.081720378301629,-0.0001656191259372042,-0.00011254523236655558
64,187264651380.31436,2416.224433164797,-1.5177572813356446,-0.00019223256442655047,-0.00010877073223184977
65,41892558188.924286,680.5573126695722,-1.2123421544047523,-6.073639678809857e-05,-3.600132993514403e-05
66,122218741775.85435,931.3715312481496,-1.4442305323275555,-0.00011664025671986716,-7.050153211281453e-05
67,110164970062.39168,1159.3963963590336,-0.497357258335672,-0.0001453603241382948,-0.00010242175184239788
68,180234462452.34634,1020.895062443862,-1.4790729488692282,-0.00015448706065277273,-9.584605678064151e-05
69,220061865367.9399,1057.4662438610276,-0.5501475009174128,-0.00020816859763626874,-0.00015596733563966154
70,219513708393.2223,608.8440197203249,-1.4788339821949277,-0.0001375691389935019,-9.343328354527738e-05
71,162192365910.26617,1467.7302080840304,-0.4090146353492925,-0.00019789055274357635,-0.00014298606452814704
72,78227767417.09955,1128.1145548921572,-1.2707773797142816,-9.868966402635349e-05,-5.845673156949494e-05
73,155852884178.177,1900.4096573909578,-1.2776108418803682,-0.00017270478537221833,-0.00010473142608136303
74,42108968219.04718,1323.4570277648181,-1.9517418818089358,-5.221168321148401e-05,-2.05650702044165e-05
75,128616584929.72499,2217.71909564028,-0.1626648611064252,-0.00019062948749079794,-0.00013685446504754247
76,87981255763.85739,1222.7162715416475,-1.6204988902082056,-9.899229969584447e-05,-5.2119666542604876e-05
77,57900479652.26286,391.7046373110378,-1.3039878814879624,-5.7887467182138695e-05,-3.6637935554818086e-05
78,45695050048.546974,1522.652816405891,-0.826843753857675,-7.688848807348401e-05,-4.789547808559754e-05
79,287587000984.29584,1691.4820042048723,-0.17942913260673476,-0.00030628959664217296,-0.000234538269018115
80,125870100587.71172,1671.4106585654567,-0.23138585151412472,-0.00017988028941093775,-0.00012933428700797817
81,49875911935.26741,2527.9987530909025,-1.6293743808789625,-6.440387915021443e-05,-3.117645612202917e-05
82,64155956372.816345,1815.4119944558781,-1.2666640868796215,-8.896984594688276e-05,-5.059142358556487e-05
83,49198322593.792366,1446.4873916410231,-0.2570049919325166,-9.151140205745723e-05,-6.282635330947849e-05
84,149268444773.90356,1970.6479927853673,-0.9621839276495907,-0.00018052755063922257,-0.00011695401137529341
85,42787604692.2327,2386.9587740509005,-0.3802979956950552,-7.931059371661688e-05,-5.2368422970078766e-05
86,44580100476.82855,468.8725838588076,-0.0003966999465987442,-7.220197345478623e-05,-5.3553954001455904e-05
87,78759753870.79091,2708.083691885706,-1.4239270253898684,-9.971370396031697e-05,-5.406949907216927e-05
88,247364922390.44025,2046.5061934841958,-1.7637895988705297,-0.0002134662445772768,-0.00011499226390921405
89,281462441500.70416,401.18508514962934,-1.45333516478294,-0.00013524013305303835,-9.660668297235664e-05
90,105091411460.72389,2013.6841482604166,-0.2753480834664046,-0.00015909526818537738,-0.0001121638235940884
91,117960475171.0934,762.673372658563,-1.6502272243210099,-0.0001031139602390653,-5.900577858972215e-05
92,108665380000.65393,630.2574454058571,-0.2466742317097368,-0.00011863227367004607,-9.003198837029032e-05
93,42181116902.65353,2378.2185555852907,-1.1200304701366683,-6.55889097859085e-05,-3.74838518468158e-05
94,249355350191.14017,787.7848344706979,-1.2559107088069237,-0.00017140261646604073,-0.00012184682062555828
95,94011233520.66447,2784.752624627207,-0.9787283364833468,-0.00012887216355318156,-7.962990500358052e-05
96,74383349757.17598,2028.611188443916,-0.5204813919480975,-0.00011864690932941387,-7.928248669262254e-05
97,90612034194.22765,2160.3012150766663,-1.1047032918016304,-0.00012052647503366085,-7.299285639677454e-05
98,197783446517.47476,858.7398443022981,-0.699236236194205,-0.00017436115307813255,-0.00012971126221901887
99,52350955946.61627,1088.4999056588535,-1.4068249339856962,-7.066947763415849e-05,-3.908463059732588e-05
100,56859107071.55209,2173.2915118076535,-1.0570435376447098,-8.537204485639618e-05,-5.060211237348321e-05
101,98160669242.00339,858.3458109925649,-1.454933710390109,-0.00010118390195745258,-5.956618988114625e-05
102,61364205287.77506,2611.370534529504,-1.4768373059086948,-8.000707191153385e-05,-4.189226007444325e-05
103,137571522866.08075,1126.4581447654614,-0.7661909068993811,-0.000154091878976839,-0.0001069694204581384
104,139278646575.0597,1334.921691647562,-1.8293929921995848,-0.00012949182340571137,-6.462014274464492e-05
105,79478036968.03445,857.1495433428744,-1.2484783258221317,-9.466707818785072e-05,-5.7693510373068214e-05
106,137073965763.48521,1526.789019544954,-1.0882785890268032,-0.00015867484151216302,-0.00010104087498811065
107,174580406701.29962,2587.2389856260456,-1.9971224362934021,-0.0001595184122893392,-7.027440280903946e-05
108,148007185463.9221,686.7380700371382,-0.9860559358108094,-0.00012891128709102015,-9.129498762657976e-05
109,95491824537.89185,1846.8776581881993,-0.6300938851085458,-0.000137443996945793,-9.22187977671018e-05
110,46968418281.566025,909.7272066005816,-0.6552828140357461,-7.700008985274855e-05,-5.102503848914343e-05
111,140616163106.22693,1524.8272407479474,-1.7960579547927422,-0.00013552147179736216,-6.798212199653481e-05
112,111819448559.01353,1161.0496939903605,-1.3445442145610342,-0.00012331840782280233,-7.379785027169688e-05
113,112902458204.85226,1058.8838018400884,-1.1493521824410218,-0.00012602694529771345,-8.013118930685034e-05
114,297364442030.9908,687.8567149071016,-0.36081875590006707,-0.00020682826022001306,-0.00016513456304723074
115,184123110315.1982,944.4831639092591,-0.6216578765412337,-0.0001775717720179404,-0.00013103296559318644
116,132715499885.86151,2579.0832063531034,-1.3907802443224861,-0.00015150534151455984,-8.691613686728041e-05
117,88963711894.43138,406.1890304684629,-1.4593972728166538,-7.05650864517418e-05,-4.5191305674724934e-05
118,109937264610.27405,2400.7115692395773,-1.9589102983129376,-0.00011021747036193303,-4.7658296922402095e-05
119,146406313555.31152,1454.012889291016,-1.7305019097192929,-0.000140333814155331,-7.356765817474472e-05
120,68857982308.9146,853.207102553088,-1.0678874565489376,-9.03991502522683e-05,-5.684204342542631e-05
121,263881114878.661,315.6449737240114,-0.49132897993444935,-0.00012899148459508375,-0.00010575805803403656
122,73901449686.77115,1149.8011905733447,-0.08225467954910903,-0.00012121984377914582,-8.760541795561626e-05
123,82331306446.5642,2198.3547456377255,-0.7164104474443591,-0.00012303806564997006,-7.99272638158016e-05
124,97299961553.13612,2119.401040351887,-0.11189165857907168,-0.00015522180143452574,-0.00011088018519203533
125,161982639979.81012,843.7758941029241,-0.504262864955751,-0.00016049585630321323,-0.00011982366832762667
126,258127633321.34296,2049.9264456117153,-0.10985048148738819,-0.0003016586340052148,-0.0002279901701389474
127,236307263877.32434,427.3171393851888,-1.3501614395500965,-0.00012580782619404604,-8.933410850043849e-05
128,167732408559.02396,1106.3421693296273,-0.8197143086529726,-0.0001710510410684027,-0.00012018237745572571
129,116709314555.14514,2475.6258894007833,-1.0662949717979395,-0.0001476613063309606,-9.156796380296874e-05
130,137236966663.79842,2081.2935199213125,-1.7824961604803844,-0.0001388008068000245,-6.855826605284764e-05
131,159550644274.76556,2498.3204512857556,-0.9294857145902624,-0.00019547446749974484,-0.0001267442087945356
132,98529778151.10986,1828.9808924185659,-1.3433198643348387,-0.00011977441045416004,-6.902091156383044e-05
133,86044687824.75948,540.9568701731343,-0.35233857939666335,-9.671702145465176e-05,-7.215054944269312e-05
134,46133032090.04831,724.2590665906864,-0.8059473700114463,-7.17399826347704e-05,-4.673187402842687e-05
135,178561990605.37332,2631.9267048118704,-0.4949603685185242,-0.00023341327815963635,-0.00016272209212860324
136,231739635017.26712,2106.45219725117,-0.5565409111921147,-0.00026617319365552735,-0.00018954682155542616
