,ns,Ts,V0s,Is_0,Is_1,Is_2,Is_3,Is_4
0,194073968939.33325,1686.1994576861134,-1.8362083674540512,-3.130465430979812e-05,-2.8860811786107573e-07,-6.418324430058999e-07,-9.515450488874191e-07,-1.77323779928477e-06
1,207270602315.68436,488.44844035705853,-1.8443750152897926,-3.2285845905067794e-05,-3.141205520226856e-07,-7.284365751548216e-07,-1.077044103225894e-06,-1.970640026922194e-06
2,151257755332.5622,2386.245210088074,-0.3227763858555466,-3.6669575858921194e-05,-4.955144755270422e-07,-7.300824233855619e-07,-9.48341954959731e-07,-1.547701003391602e-06
3,108224631945.0764,2125.5998188006733,-0.7656627014982087,-2.508914209334998e-05,-3.142616625313669e-07,-4.976482816141582e-07,-6.663875109033786e-07,-1.1259360103006898e-06
4,114270768133.6743,1557.3010131446424,-1.8556469219613119,-1.9991775208509553e-05,-1.7455136267285852e-07,-4.0349545632745363e-07,-6.042868409337184e-07,-1.137491217402144e-06
5,45513136817.43945,1606.108881704006,-0.7987446909615161,-1.2310562084958346e-05,-1.4342928114416527e-07,-2.3087578454671826e-07,-3.108428774687935e-07,-5.273269459187208e-07
6,188755158728.35565,870.6434336729333,-1.186910272780988,-3.942496815764918e-05,-4.5964358120192246e-07,-8.068025875589921e-07,-1.118121270815724e-06,-1.9488164891807846e-06
7,78802213206.34921,402.5253472428134,-1.1392128223346691,-2.1339008362812e-05,-2.4174421125793887e-07,-4.2936323727112404e-07,-5.978124605658675e-07,-1.0478811773746301e-06
8,186922389886.75656,2066.0311342977984,-0.4423554257576028,-4.4148903861720405e-05,-5.859844840142484e-07,-8.782699217609003e-07,-1.149372834475342e-06,-1.8919638043065019e-06
9,104733502778.76518,1046.8119995105935,-0.39642927796829097,-3.098642091488516e-05,-3.8877220450862577e-07,-5.893663424333036e-07,-7.751333453003571e-07,-1.2832016395209473e-06
10,292610335773.2457,1165.4839842886945,-0.08190341175402605,-7.007918055669528e-05,-1.0130380850792226e-06,-1.4485015982181674e-06,-1.851224509322024e-06,-2.9471843579600647e-06
11,144063607604.3005,2263.3432308926704,-0.6911944541323776,-3.250618133185088e-05,-4.1793992683148284e-07,-6.505624299702554e-07,-8.652109590407548e-07,-1.451093132901378e-06
12,68028830664.939476,2635.254079434637,-0.08990276635189698,-1.822529431219649e-05,-2.474679876911506e-07,-3.541100923706134e-07,-4.533565405377636e-07,-7.254100016102209e-07
13,57477863617.84323,2186.0229631854677,-1.9685352316112472,-9.280428064204222e-06,-7.93217579843995e-08,-1.9253958603452523e-07,-2.9043889318409616e-07,-5.479561958348245e-07
14,291154385439.8187,2470.0167390316838,-0.15188526710007721,-6.62730024754255e-05,-9.363086099842748e-07,-1.340336232353377e-06,-1.7171253866109547e-06,-2.7531008068600973e-06
15,124017921648.74687,1648.0670298831799,-0.37060694729927435,-3.313045215919056e-05,-4.2849918911550366e-07,-6.419150207397527e-07,-8.400452091123538e-07,-1.38314223101041e-06
16,190070863446.66174,1770.4127123183212,-0.3696950651757571,-4.669825788013178e-05,-6.20015080508804e-07,-9.228302071407493e-07,-1.2038074425856889e-06,-1.973387472143955e-06
17,52712071785.96608,1856.828262431613,-0.44770538762461154,-1.4773182419011844e-05,-1.8428886023399114e-07,-2.785945965475031e-07,-3.656695266537198e-07,-6.029893360081886e-07
18,151811205510.8026,553.078224332007,-1.9135251805839135,-2.661251560329953e-05,-2.2242919954323197e-07,-5.543602602101202e-07,-8.363633843696061e-07,-1.5678057993686237e-06
19,211338239978.91412,2688.7581159669903,-1.9479136139333968,-2.9645629301573615e-05,-2.8152548565737093e-07,-6.347360832524383e-07,-9.438279181848193e-07,-1.7649453012424853e-06
20,117685709893.84435,2431.907574462312,-1.4062074375910179,-2.1636579204456645e-05,-2.437682109544317e-07,-4.4558343299868907e-07,-6.274435909983854e-07,-1.1165079803552771e-06
21,295200736016.56116,597.063592204248,-0.8175938764829997,-5.536143600419228e-05,-8.050091626279601e-07,-1.2733924810303245e-06,-1.6910421963983695e-06,-2.791066353368525e-06
22,129383600878.20145,2165.3527292916287,-0.5759049658689759,-3.075543880904386e-05,-3.981397204955316e-07,-6.099693372108523e-07,-8.059082274575894e-07,-1.3415970683020868e-06
23,68437447265.4742,2530.8575796449854,-0.1349430599766095,-1.8374085916646387e-05,-2.474353064234008e-07,-3.5630020172474105e-07,-4.575523588445001e-07,-7.350092689002107e-07
24,78706836757.18243,652.7979324485639,-1.7299407785019734,-1.777257997147472e-05,-1.5141805566734976e-07,-3.4258116249107743e-07,-5.10342737139093e-07,-9.550377389914705e-07
25,125208537274.93974,2758.645826579764,-1.2363288260214054,-2.3371627971634457e-05,-2.806154233414913e-07,-4.843811634186569e-07,-6.693384329824195e-07,-1.1687398109160546e-06
26,40877511446.515305,1420.7497383218642,-1.5807607132728216,-9.018325162236908e-06,-8.499994732328086e-08,-1.7282529608382974e-07,-2.5061857505347724e-07,-4.574404030729412e-07
27,136522370519.6178,2537.5125737673184,-0.5147192163538845,-3.149227488829809e-05,-4.186743965863834e-07,-6.321374581503859e-07,-8.29946591500197e-07,-1.3714348689126094e-06
28,107735810580.40439,1910.423739532209,-1.250099539862451,-2.2336817586744323e-05,-2.519891574499708e-07,-4.466226991345989e-07,-6.229544035613399e-07,-1.0986190626313515e-06
29,71623356673.30264,2086.20728963033,-0.8404563210130565,-1.7005362088290494e-05,-2.0722154126331253e-07,-3.3326886337965e-07,-4.487264554068367e-07,-7.618911441868351e-07
30,79773898310.40385,667.4473918830065,-1.7822299078771673,-1.75748746829937e-05,-1.4534255586592317e-07,-3.3936158764971723e-07,-5.090437377449949e-07,-9.58195529866775e-07
