,ns,Ts,V0s,Is_0,Is_1,Is_2,Is_3,Is_4
0,44889225331.12824,739.4993787535886,-1.017387535825874,-1.582444167866805e-06,-1.4803870231840328e-07,-2.556926123156537e-07,-3.536697118682352e-07,-6.186226441050459e-07
1,56069652839.593124,731.746058439682,-1.5212466089388799,-1.6497902984051717e-06,-1.322017337013786e-07,-2.6988067790709727e-07,-3.92565909784382e-07,-7.205258375349034e-07
2,128306641035.61612,1445.3986513520829,-0.2706405419795528,-4.077024381083533e-06,-4.6517221078325057e-07,-6.889936551950177e-07,-8.970788506357099e-07,-1.4679784621845452e-06
3,202049337030.80026,921.5606745475385,-0.981222444708292,-6.055674993811056e-06,-5.38567503167379e-07,-8.958412932565433e-07,-1.218796907054852e-06,-2.084590544596054e-06
4,145099155835.37775,834.4985766153634,-1.0027426735208929,-4.596979292124346e-06,-4.066508948184231e-07,-6.86624853605216e-07,-9.402910647838801e-07,-1.6224343233655259e-06
5,48489811345.73413,2420.4499282586107,-0.08329546615328609,-1.3229583915137672e-06,-1.8134575315312896e-07,-2.5952673451297714e-07,-3.3210669319855865e-07,-5.304765014066278e-07
6,46369735684.932144,455.1889792592925,-0.7398827134817278,-2.1668140224753e-06,-1.8798710454505846e-07,-3.064075180203396e-07,-4.149314458431059e-07,-7.095523473272405e-07
7,62683270943.24971,2071.9076815412604,-0.16202505087575236,-1.792931997076021e-06,-2.3448866749956644e-07,-3.406695693639834e-07,-4.3938610304973425e-07,-7.098975570171637e-07
8,40046236857.16884,2171.454415736159,-0.6011247678445761,-1.0031538180194682e-06,-1.2905053470676756e-07,-1.9813633395915595e-07,-2.614510155103072e-07,-4.3276829996927404e-07
9,139178657122.5695,2300.19798073982,-1.7891890650259301,-2.270763469126978e-06,-2.1871420837476157e-07,-4.6667731369622264e-07,-6.85820804677497e-07,-1.2698978992372338e-06
10,72164154415.93373,466.37568883363485,-1.4081894066219431,-2.603337663044389e-06,-1.8800813558583198e-07,-3.664814356937374e-07,-5.253894935151274e-07,-9.488101839349609e-07
11,167702159667.24323,2147.6272570058036,-0.5442238748388362,-4.200941148383835e-06,-5.104520239147141e-07,-7.76550397644122e-07,-1.022906267565839e-06,-1.696899371673287e-06
12,116047387803.12946,2247.0982114655644,-1.2523627495094733,-2.3384733931113023e-06,-2.6472579518583957e-07,-4.650527603061174e-07,-6.466478231973675e-07,-1.136657175720251e-06
13,231631793578.96124,859.8734446253184,-0.13439329782893306,-8.809034299354784e-06,-8.365472007184055e-07,-1.2086282030538678e-06,-1.5517152299231003e-06,-2.482689824596275e-06
14,58443964580.4106,827.0673678274926,-0.5750518309664665,-2.220680402441405e-06,-2.2521658202732207e-07,-3.537690178629946e-07,-4.7232824759036507e-07,-7.957372438341557e-07
15,44049274028.66498,2459.7600380709455,-1.2142417510026087,-8.687966679779537e-07,-1.0552568294395657e-07,-1.8240654668951075e-07,-2.515031968929282e-07,-4.3611226364723085e-07
16,68523213620.19613,2395.320142399669,-1.7807150132595149,-1.1099406315916153e-06,-1.1186582490287236e-07,-2.390289014494531e-07,-3.507963158294901e-07,-6.469902774579762e-07
17,220010232587.48257,1164.582718800467,-1.330601498962197,-5.390073016391186e-06,-4.747840451890573e-07,-8.616477172335607e-07,-1.2076686696874969e-06,-2.1309048667692447e-06
18,52073634637.965355,1755.6274445339427,-1.4394443308208535,-1.0959594578447707e-06,-1.1462574463804779e-07,-2.173952423088945e-07,-3.092554983587358e-07,-5.546661356037556e-07
19,43200588700.40483,2511.2336726996523,-1.898988245170014,-6.531531975283488e-07,-6.400830264144386e-08,-1.4518339298813045e-07,-2.1534445720382447e-07,-3.9918290319834134e-07
20,275922754322.538,1380.334764844234,-1.615356964434147,-5.657604783285364e-06,-4.768889553948037e-07,-9.456300672472551e-07,-1.3586319364054417e-06,-2.4520024696824036e-06
21,292800221001.2286,1906.9333112957306,-1.04175461288149,-6.492688873060954e-06,-6.89319134662289e-07,-1.136371061278784e-06,-1.5429144459630028e-06,-2.64012519754433e-06
22,53062053863.347466,2048.842931069803,-0.4513111972945343,-1.4182566735139752e-06,-1.8160985069592887e-07,-2.737945947180863e-07,-3.5886821757976454e-07,-5.905714502760097e-07
23,110048273241.82977,718.0051782891403,-1.2191452813381296,-3.5054833173979484e-06,-2.906244720476476e-07,-5.241275749138629e-07,-7.341678211342443e-07,-1.2970222632862728e-06
24,46663110231.409096,2695.539822302981,-1.1702489367521736,-8.98507350599811e-07,-1.1262929057945045e-07,-1.9141290250602279e-07,-2.623551140352674e-07,-4.520759579090172e-07
25,283861126035.907,1846.3651298238158,-1.7642375139494733,-4.945764069575503e-06,-4.3401212904667845e-07,-9.05594644059115e-07,-1.3198548261485728e-06,-2.418209870022166e-06
26,224023058541.2656,1856.3197584925288,-1.0392975829792488,-5.085870894255195e-06,-5.458356139315983e-07,-9.068234038672527e-07,-1.2358048605447349e-06,-2.1257255580526245e-06
27,50770425450.99091,2535.1321551406927,-1.1025624761601696,-1.0251255955465772e-06,-1.2769816404020685e-07,-2.1455482083520023e-07,-2.930882870875502e-07,-5.03822178196213e-07
