,ns,Ts,V0s,Is_0,Is_1,Is_2,Is_3,Is_4,Is_5
28,70449478268.07242,1311.341606092924,-1.2886119298968726,-1.663201296515725e-05,-1.7498731203781144e-07,-3.2027777995396604e-07,-4.5141019801636983e-07,-8.042944840090017e-07,-1.3186431092896568e-07
29,91679708438.2616,1113.9686619968265,-1.4387764176056277,-2.059950931549246e-05,-2.064774042569009e-07,-3.991065954177032e-07,-5.717808433462183e-07,-1.0347922250586529e-06,-1.733650577859471e-07
30,67984688516.28312,1516.235265867537,-0.6211514495305543,-1.882401734683542e-05,-2.2835505224460304e-07,-3.5702500481782206e-07,-4.756207364811325e-07,-7.988707133683794e-07,-1.43619706628685e-07
31,219685249386.58676,1240.3648094198702,-0.4688358159504451,-5.234544694907219e-05,-6.998397559731228e-07,-1.057527209040479e-06,-1.3870321031400147e-06,-2.283003653158053e-06,-5.161133956490219e-07
32,68727688240.91481,2377.2397888890746,-1.0591691502807712,-1.4769235653371668e-05,-1.766271171444522e-07,-2.9538017112300313e-07,-4.0333349382582347e-07,-6.945394741071568e-07,-1.1665683512717478e-07
33,61720851360.03828,1293.5361565073267,-1.4359728289380962,-1.4138305346353426e-05,-1.4126995912712454e-07,-2.722910488921458e-07,-3.8970489808920155e-07,-7.043760536970982e-07,-1.1072138230308399e-07
34,86263623399.06543,2127.280795979531,-1.927115481094774,-1.3927971142631478e-05,-1.226570622647217e-07,-2.8922998128054847e-07,-4.345427185092793e-07,-8.191851990564796e-07,-1.181937796586235e-07
35,43591966905.49359,2063.9461663051316,-0.2706163220638713,-1.251653858923571e-05,-1.5930253560710754e-07,-2.3406706033475055e-07,-3.032087066460432e-07,-4.91653881657502e-07,-8.898088154919533e-08
36,47284685341.88267,2563.1029529105354,-0.6263115734236109,-1.1461203380193069e-05,-1.4570914466126816e-07,-2.2329912391489362e-07,-2.9441870899823165e-07,-4.86885961372124e-07,-8.554145577819821e-08
37,114612221998.7204,2731.4495251637095,-0.7860536740293123,-2.4576437227484493e-05,-3.175739679488557e-07,-4.993182820397234e-07,-6.665144297170801e-07,-1.121672640741309e-06,-2.0359148889377713e-07
38,214637513506.1502,830.2443998300444,-0.3994993681818195,-5.223207516414852e-05,-7.215697025845915e-07,-1.0803419581012753e-06,-1.4093122413271413e-06,-2.2985115414960284e-06,-5.654261148783946e-07
39,75622634738.18182,2734.6021165188963,-1.2123256534321096,-1.475675549122149e-05,-1.759280048049776e-07,-3.026016980114861e-07,-4.171879430787289e-07,-7.253282297543147e-07,-1.2002294477303586e-07
40,62944367899.03465,1556.4796218823244,-0.671327961827783,-1.7233016025314653e-05,-2.072412092851866e-07,-3.265606318651792e-07,-4.3634561794009783e-07,-7.351470131943384e-07,-1.3009744826082152e-07
41,47881739794.313805,1126.1844476757547,-0.7911680169003639,-1.4298667611498921e-05,-1.6198080080604223e-07,-2.6333690810302296e-07,-3.5621466416565933e-07,-6.083252632392684e-07,-1.0436319093396712e-07
42,57143096021.74397,2231.339179156865,-0.22064329107541658,-1.5868181312799807e-05,-2.0739383766979784e-07,-3.026092574613051e-07,-3.9093655853294714e-07,-6.324327267175947e-07,-1.1690614933102176e-07
43,45767622123.00274,2130.0300605948687,-1.4166256153120065,-9.319922077109916e-06,-9.97445770516766e-08,-1.850109640104065e-07,-2.61091872094489e-07,-4.6377588088234535e-07,-7.173416324518897e-08
44,144917633613.52344,690.3031877812382,-1.4073230588372274,-3.054695673425643e-05,-3.27020294851799e-07,-6.223007735370278e-07,-8.84300824017358e-07,-1.5794806449591676e-06,-3.1382566910050915e-07
45,239950083583.2608,378.85244611554765,-0.2063704721508257,-5.023332718349698e-05,-8.554130625534346e-07,-1.2310588206667433e-06,-1.5702156579208321e-06,-2.4684933929036943e-06,-7.573606574349125e-07
46,68511249646.08943,1403.4377884355567,-1.2436381421636167,-1.617551425747217e-05,-1.733139256041279e-07,-3.120704190203999e-07,-4.3751650704555004e-07,-7.75361150205809e-07,-1.2725810070145414e-07
