,ns,Ts,V0s,Is_0,Is_1,Is_2
0,188515176864.78607,633.0859843437917,-0.965118700496806,-1.530281433409824e-05,-4.363078582305633e-05,-0.00011413083519780255
1,232679529373.03745,1278.951115306061,-0.4633877930391397,-1.7866005683584494e-05,-6.553420490043699e-05,-0.00015700192194658964
2,143419878398.73578,713.9524018221164,-0.9713949962847892,-1.1860065358452047e-05,-3.6048748419091306e-05,-9.937049489928401e-05
3,94731649308.58131,680.577093176101,-1.9462653109266919,-5.9338687141460055e-06,-1.3002661108662431e-05,-7.051086945923669e-05
4,64736180407.04778,2589.8589197149213,-0.5432578087804389,-4.179907437897573e-06,-2.047281603730796e-05,-6.03708910479963e-05
5,103457752009.38931,1742.622279162189,-0.6827056524788644,-7.320984889920605e-06,-3.158774357382381e-05,-9.220787068427803e-05
6,77330520502.38905,397.08774597569106,-0.0012337128531465513,-1.0380184878183465e-05,-3.101932088899073e-05,-6.742888510919424e-05
7,132254031001.64993,1091.7893580414902,-1.576019520798198,-8.07615646082717e-06,-2.4252458439366717e-05,-9.678117075897825e-05
8,100689227104.78699,522.7498554966245,-1.9317842839464274,-6.736775734765378e-06,-1.3735268059048022e-05,-6.742861777487148e-05
9,68950349333.25069,2306.109877502353,-1.5195058754949677,-3.4313421349861994e-06,-1.2882200029121654e-05,-5.73790976259291e-05
10,40308563397.44803,2230.3960676582255,-1.840547569386065,-1.8192745024262163e-06,-5.7673119303595465e-06,-3.4572488436711596e-05
11,55061658611.229225,2394.267807987669,-1.7389034615285124,-2.5023788355816253e-06,-8.543884801458124e-06,-4.531930598226937e-05
12,109421284220.57547,1894.9605589280927,-0.323545487432906,-8.230198000530896e-06,-3.77732308891593e-05,-9.974923262323473e-05
13,101971274277.23312,2069.9012056311285,-1.372192843849715,-5.481640367041419e-06,-2.0982427360573826e-05,-8.224226140468463e-05
14,62401739753.84825,1039.7359134886244,-1.0626291420141942,-4.913758804088799e-06,-1.837474826879922e-05,-6.260176273860121e-05
15,48792118628.57575,730.8997229600889,-0.7510024073025876,-4.880868184017809e-06,-1.8291341043214473e-05,-5.498722146484739e-05
16,94184840387.90112,590.1067065459974,-1.4579411045825326,-7.435788101304883e-06,-2.018470123119622e-05,-7.232013633135683e-05
17,94451415027.18207,1058.5888406755025,-1.5688540286989539,-6.015667007527956e-06,-1.8425374855097433e-05,-7.6804406822652e-05
18,151599897719.2257,1087.848858013786,-0.06263407292541157,-1.414701962864272e-05,-5.458178773353017e-05,-0.00012490735725041672
19,229942151988.3792,831.5244603349631,-0.27582249207665055,-2.0441866551805995e-05,-6.662523823996338e-05,-0.00014695222467179132
